title,artist,album,release_date,url,image_url,year,genre,mood
"Haiyayyo (From ""Mr.X (Telugu)"")",Dhibu Ninan Thomas,"Haiyayyo [From ""Mr.X (Telugu)""]",2025-03-19,https://open.spotify.com/track/2m1ihM9sAyMgYvAhkAfG6j,https://i.scdn.co/image/ab67616d0000b273e3862de943baa277fd5ce22e,2025,Romantic,Happy
War 2 Teaser - Telugu Version,Sanchit Balhara,War 2 Teaser - Telugu Version,2025-05-20,https://open.spotify.com/track/6RqWVsRBymv79zDSw9PSQG,https://i.scdn.co/image/ab67616d0000b273575efe963b939c5450218a55,2025,Romantic,Happy
"Gaali Ooyalallo (From ""Aghathiyaa"")",Yuvan Shankar Raja,Aghathiyaa - Telugu (Original Motion Picture Soundtrack),2025-04-05,https://open.spotify.com/track/1ceee7aD4L0J5liT33wNUs,https://i.scdn.co/image/ab67616d0000b273168b3ca9c9d118c41d767f7b,2025,Romantic,Happy
Oye Mayavi [TELUGU],A.R. Rahman,Kadhalikka Neramillai [TELUGU],2025-02-13,https://open.spotify.com/track/5ciGciU867viFk5tWKR6Tv,https://i.scdn.co/image/ab67616d0000b273e4d4c6eaf182f5a3448cb0af,2025,Romantic,Happy
Dhop,Thaman S,Game Changer (Telugu),2025-01-04,https://open.spotify.com/track/7ddhukW6Thp0vXdKtB6int,https://i.scdn.co/image/ab67616d0000b2738b395cc60acd21733fb64cf1,2025,Romantic,Happy
Bhoome Swargam,Amrit Ramnath,3BHK (Telugu) [Original Motion Picture Soundtrack],2025-06-27,https://open.spotify.com/track/3F8ak8LIVhaC8uBhe35WJx,https://i.scdn.co/image/ab67616d0000b2736cd4cc468e7c662ce1b7a31c,2025,Romantic,Happy
Thaguvaadu Dorikene,Shweta Mohan,Eleven (Telugu),2025-04-29,https://open.spotify.com/track/2Db2v3INBfO88ZHQHXsJ58,https://i.scdn.co/image/ab67616d0000b2730e81bac6610c6a511a73e30f,2025,Romantic,Happy
Let's Play,A.R. Rahman,Thug Life (Telugu),2025-05-24,https://open.spotify.com/track/40X3hVL5wFVc4zacauKA9U,https://i.scdn.co/image/ab67616d0000b273f930b52c67fa54af1c0a28e3,2025,Romantic,Happy
The Spooky Vibes of Grandma,Thaman S,Sabdham (Telugu) [Original Motion Picture Soundtrack],2025-02-28,https://open.spotify.com/track/5dm7V5AJ39saOwOLyIPtvC,https://i.scdn.co/image/ab67616d0000b2734faa32356aa2fcb1714e089f,2025,Romantic,Happy
Poratame 3.0,Mickey J. Meyer,Hit - 3 (Telugu),2025-06-09,https://open.spotify.com/track/4uxIEhmNgM06vVucuaNjDE,https://i.scdn.co/image/ab67616d0000b2733f54c26680f943a5f007af8a,2025,Romantic,Happy
Bujjamma,Santhosh Narayanan,Retro [TELUGU],2025-04-29,https://open.spotify.com/track/51pYgKirb5pt02xIl6vncg,https://i.scdn.co/image/ab67616d0000b2736cfc172da06770093b438487,2025,Romantic,Happy
Abki Baar Arjun Sarkaar,Mickey J. Meyer,Hit - 3 (Telugu),2025-06-09,https://open.spotify.com/track/2suvGiyD1229CEDTaqKFip,https://i.scdn.co/image/ab67616d0000b2733f54c26680f943a5f007af8a,2025,Romantic,Happy
Kirata Bit Song (TELUGU),Harshavardhan Chavali,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/7oqwdUnEjuwnszJDrH6Znq,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
Kanu Paapa,Punya Selva,Retro [TELUGU],2025-04-29,https://open.spotify.com/track/2EVFaD4UmvC5u5UEJMIMfC,https://i.scdn.co/image/ab67616d0000b2736cfc172da06770093b438487,2025,Romantic,Happy
"Azrael (From ""L2: Empuraan"") - Telugu Version",Deepak Dev,"Azrael (From ""L2: Empuraan"") [Telugu Version]",2025-04-03,https://open.spotify.com/track/6PsXV8A0Q71DI6VnR1j2Fj,https://i.scdn.co/image/ab67616d0000b2739669f3d37b5a45dce50cf880,2025,Romantic,Happy
